date,krx_semi,btc_krw
2017-09-25,25443.0,4322000.0
2017-09-26,25178.0,4321000.0
2017-09-27,25327.0,4657000.0
2017-09-28,25463.0,4586000.0
2017-09-29,25535.0,4657000.0
2017-09-30,25535.0,4895000.0
2017-10-01,25535.0,4962000.0
2017-10-02,25535.0,5025000.0
2017-10-03,25535.0,4964000.0
2017-10-04,25535.0,4895000.0
2017-10-05,25535.0,4926000.0
2017-10-06,25535.0,5027000.0
2017-10-07,25535.0,5047000.0
2017-10-08,25535.0,5217000.0
2017-10-09,25535.0,5477000.0
2017-10-10,26250.0,5486000.0
2017-10-11,26495.0,5557000.0
2017-10-12,26447.0,6332000.0
2017-10-13,25862.0,6438000.0
2017-10-14,25862.0,6664000.0
2017-10-15,25862.0,6381000.0
2017-10-16,25496.0,6491000.0
2017-10-17,25714.0,6457000.0
2017-10-18,25443.0,6391000.0
2017-10-19,25646.0,6511000.0
2017-10-20,25738.0,6928000.0
2017-10-21,25738.0,6874000.0
2017-10-22,25738.0,7039000.0
2017-10-23,26030.0,6971000.0
2017-10-24,25904.0,6479000.0
2017-10-25,26174.0,6643000.0
2017-10-26,25463.0,6811000.0
2017-10-27,25520.0,6710000.0
2017-10-28,25520.0,6715000.0
2017-10-29,25520.0,6961000.0
2017-10-30,25743.0,6964000.0
2017-10-31,26262.0,7422000.0
2017-11-01,26258.0,7798000.0
2017-11-02,25950.0,8217000.0
2017-11-03,26159.0,8143000.0
2017-11-04,26159.0,8346000.0
2017-11-05,26159.0,8453000.0
2017-11-06,26159.0,8060000.0
2017-11-07,26240.0,8243000.0
2017-11-08,26337.0,8339000.0
2017-11-09,26106.0,8148000.0
2017-11-10,26332.0,7541000.0
2017-11-11,26332.0,7231000.0
2017-11-12,26332.0,7132000.0
2017-11-13,26544.0,7487000.0
2017-11-14,27063.0,7591000.0
2017-11-15,26580.0,8350000.0
2017-11-16,26993.0,8710000.0
2017-11-17,26897.0,8541000.0
2017-11-18,26897.0,8618000.0
2017-11-19,26897.0,8770000.0
2017-11-20,26746.0,9025000.0
2017-11-21,27025.0,8944000.0
2017-11-22,27437.0,9084000.0
2017-11-23,27341.0,8943000.0
2017-11-24,27550.0,9195000.0
2017-11-25,27550.0,9879000.0
2017-11-26,27550.0,10344000.0
2017-11-27,27128.0,11314000.0
2017-11-28,26816.0,12048000.0
2017-11-29,27002.0,11104000.0
2017-11-30,25960.0,11935000.0
2017-12-01,26092.0,12532000.0
2017-12-02,26092.0,12971000.0
2017-12-03,26092.0,13128000.0
2017-12-04,26111.0,13684000.0
2017-12-05,25908.0,14645000.0
2017-12-06,25383.0,18390000.0
2017-12-07,25014.0,23791000.0
